Whale ID,Mother ID,Father ID
2027,1127,
2029,1629,1320
2030,,
2040,1140,1720
2042,1142,1514
2048,1248,
2050,,
2057,1157,
2110,1710,
2114,1314,
2120,,
2123,1123,1144
2130,1014,
2135,1135,1156
2140,1240,1150
2142,1242,
2143,1243,1511
2145,1145,1150
2150,,
2151,1151,
2158,1158,
2160,,
2163,1163,1147
2201,1001,
2209,1509,
2210,,
2212,1612,
2215,1315,1037
2220,,
2223,1223,1048
2230,1430,
2233,1233,
2240,,
2250,,
2260,,
2270,,
2271,1171,
2301,1201,
2303,1303,1102
2304,1604,
2307,1407,
2310,,
2320,,
2330,,
2340,,
2350,,
2360,,
2366,1266,
2370,,
2404,1004,
2406,1406,1032
2410,,
2413,1013,
2420,,
2425,1425,1218
2427,1127,1328
2430,,
2440,1140,1166
2450,,
2460,,
2470,,
2479,1179,1035
2480,,
2503,1503,1043
2510,,
2520,,
2530,,
2540,,
2541,1241,1156
2550,,
2557,1157,1238
2601,1701,1037
2602,1602,1327
2605,1705,1227
2608,1408,1056
2610,,
2611,2610,
2614,1114,1052
2615,1815,
2617,1817,
2620,,
2630,,
2635,1135,
2640,1208,1270
2642,1142,1144
2645,1245,1170
2660,1160,
2681,1281,
2701,1601,1144
2704,1704,1041
2705,1405,1102
2707,1707,
2709,1509,
2710,1004,1033
2713,1013,
2720,,
2730,,
2740,1240,
2743,1243,
2746,1946,1170
2750,1950,1170
2753,1153,
2760,,
2770,,
2780,,
2790,,
2791,,
2794,,
2795,,
2810,1810,
2820,,
2830,,
2904,1204,
2910,,
2912,1612,
2920,,
2930,,
2940,2210,
2950,,
2960,,
3010,,
3020,,
3030,,
3040,,
3050,,
3060,2520,
3101,1701,1306
3102,1602,
3103,1703,
3107,1407,
3108,1308,1311
3109,1509,
3110,1710,
3111,1611,
3115,1815,1506
3120,1911,1327
3123,1123,1818
3125,1425,1103
3130,2240,1150
3139,1039,
3140,1140,
3142,1142,1630
3145,1245,
3150,2050,1818
3151,1151,
3157,1157,1033
3160,1160,
3170,2145,
3180,2150,
3181,1281,1122
3190,,
3191,,
3192,,
3193,,
3194,1412,
3195,,
3208,1408,
3210,,
3220,,
3229,1629,
3230,2040,1155
3232,1632,
3240,1240,
3241,1241,
3245,1145,1270
3250,,
3260,,
3270,,
3279,1179,
3280,,
3290,1810,
3291,1248,
3292,1310,1320
3293,,
3294,,
3295,,
3296,1430,1149
3297,,
3298,,
3301,1301,1803
3302,1802,
3303,1503,1227
3308,1608,
3310,2301,1716
3311,1711,1821
3312,1612,1043
3314,2114,
3317,1817,1801
3320,,
3323,2123,1306
3329,2029,1419
3330,2520,
3333,1233,
3340,1208,
3343,1243,1032
3346,1946,
3350,1950,
3351,1151,1278
3360,,
3370,,
3380,,
3390,,
3391,,
3392,,
3393,,
3401,1701,1317
3405,1705,1801
3410,,
3411,1911,1603
3414,2614,1279
3420,2460,1037
3421,1321,1617
3423,1123,1960
3430,2330,1419
3440,1622,1019
3442,1142,1149
3445,2145,1271
3450,,
3460,2360,
3466,1266,2140
3470,,
3503,1703,1032
3504,1204,
3508,1408,1306
3510,3010,1156
3512,1012,
3513,2413,
3515,1315,1616
3520,2040,1818
3522,1622,1249
3523,2223,1052
3530,1509,1708
3532,1632,1328
3540,1140,
3541,1241,1603
3545,1245,1207
3546,1246,
3550,1145,
3560,1308,1155
3570,1310,
3579,1179,1050
3580,1970,3470
3590,1013,
3591,,
3592,1303,1249
3593,,
3594,2790,1103
3595,1604,1155
3596,,
3597,2645,
3601,1301,
3602,1802,
3603,1503,1712
3610,,
3611,1611,1328
3617,1817,
3620,2503,
3623,2123,
3629,2029,
3630,2710,1017
3640,,
3643,1243,
3646,1946,
3648,1248,1113
3650,1950,1156
3651,1151,2340
3660,2660,
3670,2320,
3680,1812,
3681,1281,1112
3691,2791,
3692,,
3693,,
3694,,
3701,1701,1720
3705,2605,1306
3710,2460,
3711,1911,1803
